Year,State / Territory,AFL Players,Population,Density (per 100k)
2020,Victoria,58,7104300,0.82
2020,Northern Territory,1,265500,0.38
2020,South Australia,12,1908200,0.63
2020,Western Australia,18,3061700,0.59
2020,New South Wales,11,9110700,0.12
2020,Queensland,6,5692600,0.11
2020,Tasmania,3,576700,0.52
2021,Victoria,61,7104300,0.86
2021,Northern Territory,2,265500,0.75
2021,South Australia,15,1908200,0.79
2021,Western Australia,19,3061700,0.62
2021,New South Wales,14,9110700,0.15
2021,Queensland,8,5692600,0.14
2021,Tasmania,2,576700,0.35
2022,Victoria,55,7104300,0.77
2022,Northern Territory,0,265500,0.00
2022,South Australia,11,1908200,0.58
2022,Western Australia,24,3061700,0.78
2022,New South Wales,13,9110700,0.14
2022,Queensland,7,5692600,0.12
2022,Tasmania,4,576700,0.69
2023,Victoria,65,7104300,0.91
2023,Northern Territory,3,265500,1.13
2023,South Australia,16,1908200,0.84
2023,Western Australia,20,3061700,0.65
2023,New South Wales,15,9110700,0.16
2023,Queensland,9,5692600,0.16
2023,Tasmania,2,576700,0.35
2024,Victoria,60,7104300,0.84
2024,Northern Territory,1,265500,0.38
2024,South Australia,13,1908200,0.68
2024,Western Australia,21,3061700,0.69
2024,New South Wales,16,9110700,0.18
2024,Queensland,11,5692600,0.19
2024,Tasmania,1,576700,0.17
2025,Victoria,63,7104300,0.89
2025,Northern Territory,2,265500,0.75
2025,South Australia,14,1908200,0.73
2025,Western Australia,22,3061700,0.72
2025,New South Wales,17,9110700,0.19
2025,Queensland,10,5692600,0.18
2025,Tasmania,1,576700,0.17
