Round,Team,Goals
Round 01,Adelaide,15
Round 01,Collingwood,11
Round 01,Western Bulldogs,9
Round 02,Adelaide,18
Round 02,Collingwood,14
Round 02,Western Bulldogs,8
Round 03,Adelaide,16
Round 03,Collingwood,9
Round 03,Western Bulldogs,11
Round 04,Adelaide,19
Round 04,Collingwood,12
Round 04,Western Bulldogs,7
Round 05,Adelaide,14
Round 05,Collingwood,10
Round 05,Western Bulldogs,6
Round 06,Adelaide,17
Round 06,Collingwood,15
Round 06,Western Bulldogs,8
Round 07,Adelaide,21
Round 07,Collingwood,11
Round 07,Western Bulldogs,5
Round 08,Adelaide,16
Round 08,Collingwood,8
Round 08,Western Bulldogs,9
Round 09,Adelaide,18
Round 09,Collingwood,13
Round 09,Western Bulldogs,6
Round 10,Adelaide,15
Round 10,Collingwood,12
Round 10,Western Bulldogs,4
Round 11,Adelaide,9
Round 11,Collingwood,10
Round 11,Western Bulldogs,7
Round 12,Adelaide,8
Round 12,Collingwood,14
Round 12,Western Bulldogs,5
Round 13,Adelaide,11
Round 13,Collingwood,11
Round 13,Western Bulldogs,8
Round 14,Adelaide,10
Round 14,Collingwood,7
Round 14,Western Bulldogs,6
Round 15,Adelaide,15
Round 15,Collingwood,13
Round 15,Western Bulldogs,9
Round 16,Adelaide,17
Round 16,Collingwood,9
Round 16,Western Bulldogs,11
Round 17,Adelaide,19
Round 17,Collingwood,12
Round 17,Western Bulldogs,10
Round 18,Adelaide,16
Round 18,Collingwood,11
Round 18,Western Bulldogs,12
Round 19,Adelaide,20
Round 19,Collingwood,15
Round 19,Western Bulldogs,7
Round 20,Adelaide,18
Round 20,Collingwood,10
Round 20,Western Bulldogs,9
Round 21,Adelaide,22
Round 21,Collingwood,13
Round 21,Western Bulldogs,11
Round 22,Adelaide,17
Round 22,Collingwood,11
Round 22,Western Bulldogs,8
Round 23,Adelaide,19
Round 23,Collingwood,8
Round 23,Western Bulldogs,10
Round 24,Adelaide,21
Round 24,Collingwood,12
Round 24,Western Bulldogs,11
Round 25,Adelaide,18
Round 25,Collingwood,14
Round 25,Western Bulldogs,12
Round 26,Adelaide,23
Round 26,Collingwood,10
Round 26,Western Bulldogs,9
Round 27,Adelaide,20
Round 27,Collingwood,11
Round 27,Western Bulldogs,13
