round,total_attendance,games_played,avg_per_match
1,135000,4,33750
2,431500,9,47944
3,385000,9,42778
4,345000,9,38333
5,360000,9,40000
6,290000,9,32222
7,412000,9,45778
8,365000,9,40556
9,335000,9,37222
10,340000,9,37778
11,375000,9,41667
12,215000,6,35833
13,325000,6,54167
14,235000,6,39167
15,255000,6,42500
16,190000,6,31667
17,340000,9,37778
18,310000,9,34444
19,315000,9,35000
20,325000,9,36111
21,310000,9,34444
22,305000,9,33889
23,345000,9,38333
24,368000,9,40889
25,295000,4,73750
26,145000,2,72500
27,165000,2,82500
28,0,0,0
29,100024,1,100024
