team,roster_group,percentage_share
Western Bulldogs,Top 3 Midfielders,35
Western Bulldogs,Remaining Midfield,40
Western Bulldogs,Defenders,15
Western Bulldogs,Forwards,10
Melbourne,Top 3 Midfielders,32
Melbourne,Remaining Midfield,38
Melbourne,Defenders,18
Melbourne,Forwards,12
Port Adelaide,Top 3 Midfielders,34
Port Adelaide,Remaining Midfield,36
Port Adelaide,Defenders,18
Port Adelaide,Forwards,12
Collingwood,Top 3 Midfielders,20
Collingwood,Remaining Midfield,30
Collingwood,Defenders,28
Collingwood,Forwards,22
Sydney Swans,Top 3 Midfielders,22
Sydney Swans,Remaining Midfield,32
Sydney Swans,Defenders,25
Sydney Swans,Forwards,21
Brisbane Lions,Top 3 Midfielders,21
Brisbane Lions,Remaining Midfield,31
Brisbane Lions,Defenders,24
Brisbane Lions,Forwards,24
Hawthorn,Top 3 Midfielders,19
Hawthorn,Remaining Midfield,33
Hawthorn,Defenders,27
Hawthorn,Forwards,21
Greater Western Sydney,Top 3 Midfielders,22
Greater Western Sydney,Remaining Midfield,28
Greater Western Sydney,Defenders,26
Greater Western Sydney,Forwards,24
Carlton,Top 3 Midfielders,50
Carlton,Remaining Midfield,20
Carlton,Defenders,18
Carlton,Forwards,12
Fremantle,Top 3 Midfielders,48
Fremantle,Remaining Midfield,22
Fremantle,Defenders,19
Fremantle,Forwards,11
Essendon,Top 3 Midfielders,45
Essendon,Remaining Midfield,23
Essendon,Defenders,20
Essendon,Forwards,12
Gold Coast Suns,Top 3 Midfielders,46
Gold Coast Suns,Remaining Midfield,22
Gold Coast Suns,Defenders,20
Gold Coast Suns,Forwards,12
St Kilda,Top 3 Midfielders,44
St Kilda,Remaining Midfield,21
St Kilda,Defenders,22
St Kilda,Forwards,13
North Melbourne,Top 3 Midfielders,15
North Melbourne,Remaining Midfield,20
North Melbourne,Defenders,55
North Melbourne,Forwards,10
West Coast Eagles,Top 3 Midfielders,16
West Coast Eagles,Remaining Midfield,18
West Coast Eagles,Defenders,54
West Coast Eagles,Forwards,12
Richmond,Top 3 Midfielders,17
Richmond,Remaining Midfield,21
Richmond,Defenders,51
Richmond,Forwards,11
Adelaide Crows,Top 3 Midfielders,18
Adelaide Crows,Remaining Midfield,22
Adelaide Crows,Defenders,48
Adelaide Crows,Forwards,12
Geelong Cats,Top 3 Midfielders,20
Geelong Cats,Remaining Midfield,22
Geelong Cats,Defenders,46
Geelong Cats,Forwards,12
