round,team,margin
1,Carlton,22
1,Richmond,-8
1,North Melbourne,-42
2,Carlton,36
2,Richmond,6
2,North Melbourne,-77
3,Carlton,54
3,Richmond,-16
3,North Melbourne,-112
4,Carlton,42
4,Richmond,-25
4,North Melbourne,-140
5,Carlton,58
5,Richmond,-19
5,North Melbourne,-185
6,Carlton,82
6,Richmond,0
6,North Melbourne,-222
7,Carlton,93
7,Richmond,6
7,North Melbourne,-240
8,Carlton,123
8,Richmond,-5
8,North Melbourne,-280
9,Carlton,112
9,Richmond,-40
9,North Melbourne,-272
10,Carlton,140
10,Richmond,-32
10,North Melbourne,-258
11,Carlton,165
11,Richmond,-15
11,North Melbourne,-287
12,Carlton,198
12,Richmond,-20
12,North Melbourne,-320
13,Carlton,201
13,Richmond,-60
13,North Melbourne,-331
14,Carlton,223
14,Richmond,-48
14,North Melbourne,-362
15,Carlton,192
15,Richmond,-50
15,North Melbourne,-390
16,Carlton,204
16,Richmond,-25
16,North Melbourne,-415
17,Carlton,188
17,Richmond,-39
17,North Melbourne,-457
18,Carlton,212
18,Richmond,-47
18,North Melbourne,-455
19,Carlton,225
19,Richmond,-38
19,North Melbourne,-493
20,Carlton,210
20,Richmond,-17
20,North Melbourne,-512
21,Carlton,234
21,Richmond,-28
21,North Melbourne,-544
22,Carlton,251
22,Richmond,-34
22,North Melbourne,-578
23,Carlton,280
23,Richmond,-16
23,North Melbourne,-601
24,Carlton,268
24,Richmond,-45
24,North Melbourne,-628
25,Carlton,282,,
26,Carlton,294,,
27,Carlton,311,,
28,Carlton,311,,
29,Carlton,335,,
